Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags,days_since_review,lat,lng,Reviewer_Score
Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,4/29/2017,8.5,Amba Hotel Marble Arch, Qatar , nothing,2,3980, everything was perfect,4,2,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",96 days,51.5144004,-0.1565506,High_Reviewer_Score
Keizersgracht 164 Amsterdam City Center 1015 CZ Amsterdam Netherlands,197,3/10/2017,9.4,The Toren, United States of America , Nothing ,3,948, Great hotel Wonderful friendly staff that helps in anyway Impeccable service Gorgeous rooms decor and lobby dinning bar area made our stay so much warmer and fun We had great drinks at bar at midnight chatting by the fire place Location is perfect in a middle of shopping area and not too far from the train station Amsterdam is a walkable city so we enjoyed walking a tons and we re always happy to be back to our beautiful place If you want to enjoy your stay in Amsterdam look no further We will be back for sure Thank The Toren ,103,8,"[' Leisure trip ', ' Travelers with friends ', ' Standard Double or Twin Room Annex Building ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",146 day,52.3758754,4.8859642,High_Reviewer_Score
Old Park Lane Westminster Borough London W1K 1LB United Kingdom,122,1/3/2017,9,COMO Metropolitan London, United Kingdom , Hair from previous occupants in the bathroom no tea or coffee replenished on our 2nd day and only 2 portions of milk provided very poor for such a high price hotel,32,416, Bed and pillows amazing,5,5,"[' Leisure trip ', ' Couple ', ' Superior Metropolitan Park Double Room ', ' Stayed 2 nights ']",212 day,51.5050355,-0.1500864,Intermediate_Reviewer_Score
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,6/7/2017,7.5,The Cumberland A Guoman Hotel, United Kingdom ,No Negative,0,5180, The staff were friendly chatty and helpful ,9,9,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",57 days,51.514879,-0.1606501,High_Reviewer_Score
Via Laietana 17 Ciutat Vella 08003 Barcelona Spain,177,2/2/2017,7.9,Exe Laietana Palace, Iran , safe box was very old with key totally the hotel not new that was old version ,18,2045,No Positive,0,10,"[' Business trip ', ' Solo traveler ', ' Economy Double Room ', ' Stayed 2 nights ']",182 day,41.3833541,2.1794038,Intermediate_Reviewer_Score
Ungargasse 60 03 Landstra e 1030 Vienna Austria,116,8/24/2016,8.1,Imperial Riding School Renaissance Vienna Hotel, Cyprus , it was really unpleasant the fact that we went there and were informed that the visa card we gave wasn t for payment so we had to pay on the spot Then I gave my visa two time and was declined while it worked just fine in other places As a result I paid cash and they still hold half amount of the payment that I have already paid by cash in my card until this day without me knowing something that I think I saw in the reviews from someone else as well before we went so checking their visas could save them and the tourists lots of trouble I found that to be quite a mistake because I tried to get that money out on the last day of my holidays and couldn t not even knowing why Good thing I had more cash with me Overall it was a very good stay we used the pool the pool and the rooms were good just a bit smaller than the pictures I didn t try the sauna but the fact that they closed the facilities at 22 00 it was a big plus,196,1395, the bed was very comfy and the staff more than willing to answer every question we had a perfect 10 for that Not quite near to stephansdom but its close to belvedere castle and has a metro station right next to the hotel ,45,4,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",344 day,48.1966396,16.3863822,High_Reviewer_Score
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,9/9/2016,6.7,Commodore Hotel, United Kingdom , Desperately in need of refurbishment in rooms,8,2400, Staff very friendly,4,3,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",328 day,51.5124496,-0.1795215,Intermediate_Reviewer_Score
2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,687,3/14/2017,8.9,The Montcalm Marble Arch, United Arab Emirates , nothing,2,2752, I liked the hotel very much the hotel is great and wonderful staff everything in the hotel wonderful,19,2,"[' Leisure trip ', ' Group ', ' Executive Club Twin Room ', ' Stayed 15 nights ', ' Submitted from a mobile device ']",142 day,51.5150522,-0.159239,High_Reviewer_Score
Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,419,6/15/2016,8.4,Catalonia Barcelona Plaza, Switzerland , We were a group of friends all experienced travellers and at the end of our stay we all agreed that the staff at this hotel was perhaps the rudest slowest and generally most hostile we have ever encountered The hotel itself and its facilities are good but stay away if you plan on spending time on the rooftop or using any of the facilities at the hotel gym restaurants etc With the exeption of one nice young lady in the caf on the ground floor the staff including and in particular the service personell in the bars and restaurants reacted to every simple request with hostility as if we kept interrupting other important tasks like coffee sipping playing with smartphones and exchanging gossip In addition to being hostile they were extremely slow hard to communicate with in other languages than Spanish and everything seemed impossible for instance ordering drinks and food at the same time Please note that this is definitely not a question of culture or representative of Barcelona We regularly travel to Barcelona and we have in the past encountered wonderful and service minded staff in other hotels In the end we were genuinly shocked by the behaviour of the staff The negative atmosphere was a real moodkiller and we could not help thinking about how wasteful it is to keep such miserable employees when there are so many others out there that are in need of work and ready to give good service It really is a shame ,253,4527, The hotel is safe clean and has a wonderful rooftop in terms of facilities space view and deco ,20,3,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 3 nights ']",414 day,41.3750293,2.1491172,Intermediate_Reviewer_Score
Coram Street Camden London WC1N 1HT United Kingdom,709,8/21/2016,8.2,Holiday Inn London Bloomsbury, United Kingdom ,No Negative,0,2995, The friendly and efficient staff made our one night stay stress free and enjoyable The close proximity of a good selection of resteraumts and shops was an added bonus ,31,6,"[' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",347 day,51.5241248,-0.1258066,Intermediate_Reviewer_Score
40 trinity square City of London London EC3N 4DJ United Kingdom,832,7/13/2017,9.1,citizenM Tower of London, Canada , Room is clever but cramped Toilet and shower in a frosted glass cubicle in the room is unusual Great room for one but crowded for two Strangely relatively few English language channels on the TV but many international languages Breakfast is pricey but indifferent and the same every day Don t pre book you can do better in the immediate neighborhood ,63,4672, Location is fabulous right at tube station and bus stop right across the street from the Tower Welcoming decor comfortable public spaces great lounge bar it has an open deck with an incomparable view ,36,6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",21 days,51.510237,-0.0764428,High_Reviewer_Score
Damrak 96 Amsterdam City Center 1012 LP Amsterdam Netherlands,451,6/11/2016,8.5,Swiss tel Amsterdam, United Kingdom , having to pay the evening before and then pay city tax the day after why could I not have paid both when I left Also external noise in my room ,32,2756, All very good see my review on TripAdvisor ,10,1,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",418 day,52.3735266,4.8933041,High_Reviewer_Score
190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,227,10/17/2015,8.6,The Gore Hotel Starhotels Collezione, Ireland , The lack of respect shown to the ladies in reception by other members of staff The lack of tea coffee facilities ,23,968, Reception ladies were extremely helpful and friendly ,9,2,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",656 day,51.5001979,-0.1795357,Intermediate_Reviewer_Score
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,2/18/2017,7.5,The Cumberland A Guoman Hotel, Qatar , I did not like the hotel,7,5180,No Positive,0,2,"[' Group ', ' Executive King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",166 day,51.514879,-0.1606501,Low_Reviewer_Score
Western Gateway Newham London E16 1FA United Kingdom,258,4/12/2017,8.1,Good Hotel London, France , Two separated bed to make a 2 seat bed was uncomfortable The toilets flush with low flow The noise You can hear your neighbor snoring in the next room ,31,1018, Excel london not too far Emirates cable car next to the hotel A beautiful view of the thames river in the living room,24,2,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 3 nights ']",113 day,51.5084195,0.0253216,Low_Reviewer_Score
2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,444,1/25/2017,7,Park Lane Mews Hotel, United Kingdom , What didnt we like most things To start with beds were by far the most uncomfortable bed i have ever slept in It felt as if it was falling apart and for that reason very noisey Both myself and colleague shared a twin room 302 heating was broken freezing cold night only 3 working plugs in the room how are business people meant to work Carpets were really dirty also which is very off putting Huge draft through the window made our night totally horrific it was freezing made sense why there was a portable heater in the room which was useless Pillows were falling apart i had to sleep my head on a blanket we were also awoken to the bin men right outside our window at 6 am for a solid 40 minutes For 10 cheaper i could have stayed at the Millenium hotel just down the road which is by far much more superior and also much better value for money Its not even a cheap hotel to warrant having such bad qualities ,178,2061, clean sheets,3,5,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']",190 day,51.5059334,-0.1489418,Low_Reviewer_Score
Cardington Street Euston Camden London NW1 2LP United Kingdom,744,4/10/2017,8.3,Thistle Euston, South Korea , Staffs could ve been nicer,6,2474,No Positive,0,6,"[' Business trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 1 night ']",115 day,51.5291423,-0.1372782,Low_Reviewer_Score
15 Rue de Bassano 16th arr 75016 Paris France,85,12/14/2015,8.3,Bassano, United Kingdom , tiny cramped room hotel had few facilities and lacked atmosphere had to walk to another hotel to get breakfast ,21,513, very friendly and helpful staff,6,1,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ']",598 day,48.8690596,2.2971078,Low_Reviewer_Score
64 76 Hendon Way London NW2 2NL United Kingdom,471,7/12/2017,7.9,Best Western Palm Hotel, United Kingdom , Breakfast was cold had to ask for toast as nobidy came to our table by the time it came we had ate our food Bar was exspensive and staff advised us to order out and we could eat it in the bar Bar area was over run by screaming kids from the private function I would not say this was 4 star Dirty cups and glasses in the room and not much of a view see photo s ,80,2037, Room was modern and large same about the view thou ,12,11,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",22 days,51.5634756,-0.2042758,Low_Reviewer_Score
Via Gaetano Airaghi 125 20153 Milan Italy,229,8/28/2016,6.9,Idea Hotel Milano San Siro, Poland , additional cost wifi additional cost parking far away location not so clean not worth saving few euros its better to spend this extra money not on parking or wifi but for better hotel ,35,5742, Big breakfast,3,20,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",340 day,45.4720654,9.0777871,Low_Reviewer_Score
84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,390,8/10/2016,7.8,Best Western Plus Seraphine Hammersmith Hotel, Canada , Size of room washroom hallway staircase was not cleaned No fresh air ,14,1717, Room washroom is very very small Not worth fot the amount is being charged No space to fit open your luggage ,23,1,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",358 day,51.4926269,-0.2288598,Low_Reviewer_Score
53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,364,8/14/2016,7.1,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom , There was no one on reception and we had to wait once we alerted the bar staff that we had been standing aroundo Customers personal details were left out on the reception desk for all to see including full card numbers breaching Dat a Privacy and PCI requirements The more expensive room Executive compared to the the standard twin was really tight and difficult to move around the bed Left message for manager to call me still haven t heard from him Altogether a very disappointing stay ,89,1877, The bed was comfortable The bathroom was nice but the shower was making a very loud noise which did not make the experience pleasant Especially when you are trying to sleep and you can hear the shower in the next room,42,18,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",354 day,51.5366053,-0.1919832,Low_Reviewer_Score
144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,317,5/14/2016,7.6,Mercure London Paddington Hotel, Poland , Hospitality we spent 1 hour to check in at 11pm with 2 small kids the elevetor didn t work during the whole stay we were at the 5th floor I skip the rest ,35,1458, Location,2,45,"[' Leisure trip ', ' Family with young children ', ' Small Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",446 day,51.5161139,-0.1749521,Low_Reviewer_Score
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,9/15/2015,6.7,Commodore Hotel, United Kingdom , Dirty uncomfortable and extremely shabby,6,2400, Please remove this hotel from your website it s terrible,11,1,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",688 day,51.5124496,-0.1795215,Low_Reviewer_Score
Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,365,9/3/2016,8.3,Lancaster London, Saudi Arabia , Deal with guests ,5,1463, Nothing,2,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Park View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",334 day,51.5119446,-0.179939,Low_Reviewer_Score
Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,391,10/1/2016,8.8,Ayre Hotel Gran V a, United Kingdom , Squeaky bed but didn t mention it as staff were so lovely,13,4887,No Positive,0,5,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",306 day,41.3732462,2.1474351,Low_Reviewer_Score
Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,3/6/2017,8.2,Inntel Hotels Amsterdam Centre, Ireland , Not a business hotel,5,3342,No Positive,0,5,"[' Business trip ', ' Solo traveler ', ' City Twin Room ', ' Stayed 1 night ']",150 day,52.3760456,4.8943917,Low_Reviewer_Score
34 Lombard Road Battersea London SW11 3RF United Kingdom,472,12/27/2016,8,Rafayel Hotel Spa, United Kingdom , I wanted to pay cash for my room As i had lost my credit card the day before I wasn t allowed to do so because a deposit had to be taken via a credit card I offered double the room rate as a deposit in cash but the reception staff refused even though i had called the hotel prior to my arrival to explain my situation and assured i would be able to pay cash on arrival Add this to the fact the staff were extremely rude and that we had travelled from swansea and this was xmas day needless to say we weren t impressed ,109,1378,No Positive,0,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",219 day,51.4703604,-0.1779869,Low_Reviewer_Score
4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,255,7/19/2017,8.1,DoubleTree by Hilton Hotel London Marble Arch, Indonesia , The staff to arogan especially ms Ike duty manager she is look bossy and doesn t need customer ,20,1290, Location only,3,2,"[' Leisure trip ', ' Family with young children ', ' Family Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",15 days,51.514573,-0.15666,Low_Reviewer_Score
44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,1/12/2017,7.8,Millennium Hotel London Mayfair, United Kingdom , The rooms where filthy Not cleaned properly I have asthma and the dust was terrible The staff weren t friendly either,22,3117, Was a horrendous stay there ,7,1,"[' Family with young children ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",203 day,51.510574,-0.1509951,Low_Reviewer_Score
40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,10/6/2015,7.9,H tel Concorde Montparnasse, United Kingdom , Paper cups in a superior room no iron in the room uncomfortable bed and charged 10 to purchase a adapted plug I have stayed in many hotels and none have ever charged just lent these to me Very disappointed,40,2515, Modern reception area,4,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",667 day,48.8381079,2.318669,Low_Reviewer_Score
8 10 Rue F licien David 16th arr 75016 Paris France,134,9/25/2016,7.5,Auteuil Tour Eiffel, United Kingdom , Everything,2,1266, Nothing Very poor hotel with rubbish services Poor breakfast poor room woth broken aircondition and pathrooms ,18,1,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",312 day,48.8506499,2.2750873,Low_Reviewer_Score
Via Pietro Gaggia 3 Ripamonti Corvetto 20139 Milan Italy,269,7/25/2016,8.1,Starhotels Business Palace, Qatar , Bad smel in the room Parking system,8,5265, Location Welcome,3,1,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",374 day,45.43784,9.230901,Low_Reviewer_Score
Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,71,5/23/2017,7.9,Hilton Diagonal Mar Barcelona, United States of America , Took 2 days to get extra pillow cups,9,503, Close to beach,4,1,"[' Business trip ', ' Couple ', ' King Hilton Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",72 days,41.4084334,2.2178205,Low_Reviewer_Score
33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,40,11/1/2015,8,Blakes Hotel, Italy , Vecchio e non manutenuto,5,190, Atmosfera,2,1,"[' Business trip ', ' Solo traveler ', ' Director s Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",641 day,51.4892447,-0.1803196,Low_Reviewer_Score
10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,9/25/2016,8.7,Holiday Inn London Stratford City, United Kingdom , Lost an item at the hotel and was told it was found Waited for 25 mins for someone to come to tell me they haven t We stayed for 2 nights and was told there would be a sofa bed in the room as we had a 9 year old with us No bed and didn t arrange one so someone had to sleep on a chair ,69,2130,No Positive,0,4,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",312 day,51.5426054,-0.0072708,Low_Reviewer_Score
Lakeside Way Brent London HA9 0BU United Kingdom,1427,11/29/2015,8.8,Hilton London Wembley, United Kingdom , No room ,4,4305,No Positive,0,9,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",613 day,51.5576962,-0.2835263,Low_Reviewer_Score
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,10/24/2015,7.7,Grand Royale London Hyde Park, United Arab Emirates , Staff and room size,5,6539, Location,2,1,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 1 night ']",649 day,51.5109945,-0.1863417,Low_Reviewer_Score
Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands,114,10/25/2016,6.4,Savoy Hotel Amsterdam, Iceland , This hotel is rated as 4 star but should be 2 star or less Terrible choice and I feel some part deceived as I paid somewhere north of EUR 180 for the night there I do not recommend this hotel Here are some points 1 My room was not clean or at least it felt and looked unclean There were coins on the floor when I arrived and they stayed there the whole trip 2 Towels in the bathroom had dirt spots on them they were also worn and torn The bathroom had a large window in the shower towards the street and beneath the window there was a rusty radiator it did not add to the hygiene level of the room 3 Lights were hanging loose on the fasteners above the bed I was just waiting to get them falling in my head 4 The air condition unit started some loud drumming at 100 decibels or could be even more in the mid night Not able to sleep I complained but the hotel was fully booked and nothing the staff could do When the radiator finally got quiet I ensured it was off for the rest of the stay 5 The bed was a foam rubber mattress far too soft for any regular sized 80 kg weight man to sleep in 6 There was not an option to ask for privacy as no placards signs were available to hang on the door 7 No coffee or any beverages available in the room 8 The TV had only regular TV broadcast stations in bad quality with bad pixels no cable or any HD broadcasting not that I would have enjoyed it in the soft foam mattress bed in the unclean room This hotel is rated as 4 star but that is extremely overrated in my opinion Should be closer to 2 star or even less ,317,995,No Positive,0,2,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 3 nights ']",282 day,52.3497431,4.8911908,Low_Reviewer_Score
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,5/10/2017,7.1,Britannia International Hotel Canary Wharf, United Kingdom , The fact that there was no minibar unforgivable ,10,9086, The view,3,2,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",85 days,51.5019097,-0.0232208,Low_Reviewer_Score
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,11/28/2016,8.3,Novotel London West, United Kingdom , The room was really hot and air con just seemed to blow out hot air Our room key didn t work had to visit reception 3 times before it was sorted this took awhile when you are on the 7th floor Wouldn t go there again ,48,2443, Breakfast was very good,5,10,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 1 night ']",248 day,51.4919588,-0.2200956,Low_Reviewer_Score
Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,199,11/11/2015,8.6,Art Hotel Navigli, South Africa , Have to say this has been the worst experience that I ve ever had in Milan Given that I travel to Milan every year on business and have stayed in many 4 star hotel this rates poorly The reason been that I booked a non smoking room and then was move to a smaller room which clearly was for one person On complaining my complaints were not directed to someone in charge and if they were then the person in question didn t have the gumption or the manners to speak to me directly shocking My request was that I was not prepared to move again and that the rate should be reduced this was to no avail So you have my vote of 0 and I will make sure this is heard ,135,3636, Nothing ,3,2,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 6 nights ']",631 day,45.4501306,9.1696481,Low_Reviewer_Score
Coram Street Camden London WC1N 1HT United Kingdom,709,10/4/2015,8.2,Holiday Inn London Bloomsbury, Switzerland , Good the Bad Rom for the frist night my friend had to find another Hotel Even I paid for a Double room Bed and Rom were so small Got cheated by you and Hotel,35,2995,No Positive,0,2,"[' Business trip ', ' Group ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",669 day,51.5241248,-0.1258066,Low_Reviewer_Score
